05:44:29:507 [00784] | INFO  | Initializing crosire's ReShade version '4.9.1.1002' (32-bit) built on '2021-01-09 21:10:30' loaded from "C:\ProgramData\ReShade\ReShade32.dll" into "D:\Steam\bin\vulkandriverquery.exe" ...
05:44:29:517 [00784] | INFO  | Registering hooks for "user32.dll" ...
05:44:29:517 [00784] | INFO  | > Libraries loaded.
05:44:29:518 [00784] | INFO  | > Found 14 match(es). Installing ...
05:44:29:527 [00784] | INFO  | Registering hooks for "ws2_32.dll" ...
05:44:29:527 [00784] | INFO  | > Delayed.
05:44:29:527 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d2d1.dll" ...
05:44:29:528 [00784] | INFO  | > Delayed.
05:44:29:529 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
05:44:29:529 [00784] | INFO  | > Delayed.
05:44:29:529 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
05:44:29:530 [00784] | INFO  | > Delayed.
05:44:29:530 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
05:44:29:531 [00784] | INFO  | > Delayed.
05:44:29:531 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
05:44:29:531 [00784] | INFO  | > Delayed.
05:44:29:532 [00784] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
05:44:29:532 [00784] | INFO  | > Delayed.
05:44:29:532 [00784] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
05:44:29:532 [00784] | INFO  | > Libraries loaded.
05:44:29:532 [00784] | INFO  | > Found 5 match(es). Installing ...
05:44:29:540 [00784] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
05:44:29:541 [00784] | INFO  | > Delayed.
05:44:29:541 [00784] | INFO  | Initialized.
05:44:29:542 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FF780) ...
05:44:29:543 [00784] | INFO  | Redirecting vkCreateInstance(pCreateInfo = 008FF6F4, pAllocator = 00000000, pInstance = 008FF7E8) ...
05:44:29:543 [00784] | INFO  | > Dumping enabled instance extensions:
05:44:29:543 [00784] | INFO  |   VK_KHR_surface
05:44:29:544 [00784] | INFO  |   VK_KHR_win32_surface
05:44:29:544 [00784] | INFO  | > Requesting new Vulkan instance for API version 1.0 ...
05:44:29:544 [00784] | INFO  | > Replacing requested version with 1.1 ...
05:44:29:574 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:578 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:580 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:582 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF44) ...
05:44:29:585 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:587 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:589 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF54) ...
05:44:29:591 [00784] | INFO  | Redirecting CreateDXGIFactory1(riid = {C1B6694F-FF09-44A9-B03C-77900A0A1D17}, ppFactory = 008FEF44) ...
05:44:29:598 [00784] | INFO  | Redirecting vkCreateDevice(physicalDevice = 028845E0, pCreateInfo = 008FF3E8, pAllocator = 00000000, pDevice = 008FF430) ...
05:44:29:598 [00784] | INFO  | > Dumping enabled device extensions:
05:44:29:598 [00784] | INFO  |   VK_KHR_swapchain
05:44:29:756 [00784] | INFO  | Redirecting vkDestroyDevice(device = 028F37FC, pAllocator = 00000000) ...
05:44:29:774 [00784] | INFO  | Redirecting vkDestroyInstance(instance = 00BE8AA0, pAllocator = 00000000) ...
05:44:29:775 [00784] | INFO  | Exiting ...
05:44:29:775 [00784] | INFO  | Uninstalling 27 hook(s) ...
05:44:30:846 [00784] | INFO  | Finished exiting.
