05:46:25:201 [04056] | INFO  | Initializing crosire's ReShade version '4.9.1.1003' (64-bit) built on '2021-01-09 21:12:36' loaded from "C:\ProgramData\ReShade\ReShade64.dll" into "D:\Steam\bin\cef\cef.win7x64\steamwebhelper.exe" ...
05:46:25:209 [04056] | INFO  | Registering hooks for "user32.dll" ...
05:46:25:209 [04056] | INFO  | > Libraries loaded.
05:46:25:210 [04056] | INFO  | > Found 14 match(es). Installing ...
05:46:25:218 [04056] | INFO  | Registering hooks for "ws2_32.dll" ...
05:46:25:218 [04056] | INFO  | > Libraries loaded.
05:46:25:218 [04056] | INFO  | > Found 8 match(es). Installing ...
05:46:25:226 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d2d1.dll" ...
05:46:25:227 [04056] | INFO  | > Delayed.
05:46:25:227 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
05:46:25:227 [04056] | INFO  | > Libraries loaded.
05:46:25:227 [04056] | INFO  | > Found 9 match(es). Installing ...
05:46:25:236 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
05:46:25:236 [04056] | INFO  | > Delayed.
05:46:25:236 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
05:46:25:236 [04056] | INFO  | > Delayed.
05:46:25:236 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
05:46:25:237 [04056] | INFO  | > Libraries loaded.
05:46:25:237 [04056] | INFO  | > Found 2 match(es). Installing ...
05:46:25:245 [04056] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
05:46:25:245 [04056] | INFO  | > Delayed.
05:46:25:245 [04056] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
05:46:25:245 [04056] | INFO  | > Libraries loaded.
05:46:25:246 [04056] | INFO  | > Found 5 match(es). Installing ...
05:46:25:254 [04056] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
05:46:25:254 [04056] | INFO  | > Delayed.
05:46:25:254 [04056] | INFO  | Initialized.
05:46:25:255 [04056] | INFO  | Redirecting vkCreateInstance(pCreateInfo = 000000B1FCF7E880, pAllocator = 0000000000000000, pInstance = 000000B1FCF7E9C0) ...
05:46:25:255 [04056] | INFO  | > Dumping enabled instance extensions:
05:46:25:255 [04056] | INFO  |   VK_KHR_surface
05:46:25:255 [04056] | INFO  |   VK_KHR_win32_surface
05:46:25:255 [04056] | INFO  | > Requesting new Vulkan instance for API version 1.2 ...
